"Number","Material Description (Name)","Number (Relationships.Formulation.Title Block)","SBU Category (Relationships.Formulation.Formulation Attributes)","Dossier Type (Relationships.Formulation.Formulation Attributes)","Lifecycle Phase (Relationships.Formulation.Title Block)","Lifecycle Phase","Triangulated (Page Two)","Marketed Countries (Page Three)","Country lead cluster","Region","Primary Pack Type (Page Three)","FG Pack Size (Page Three)","FG Pack Size UoM (Page Three)","Created on (Page Two)","Year created","Repack","SBU Category","Brand","UI","UI Description","Galenical form","Volume 4","Volume 3","Volume 2","Class of goods","Primary Pack Type (Page Three)","FG Pack Size (Page Three)","FG Pack Size UoM (Page Three)","Roman Number","Low performer","Samples","Galenical form","Combipack (Page Three)"
"10056107","REDOXON NA ef x10 BO/PY/UY","1600106","Nutritionals","Pharma","Active","Active","Yes","Bolivia [BO];Uruguay [UY]","Other Conosur","LATAM","Tube Rigid","10","Piece [PCE]","","","NO","Nutritionals","REDOXON","1600106","REDOXON Orange 1000 mg Effervescent Tablet","Solid|Tablet|Effervescent","  85 ","  164 ","  197 ","SG (Sales Goods)","Tube Rigid","10","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"10056110","REDOXON LI ef x10 AR/BO/PY","1600105","Nutritionals","Pharma","Active","Active","No","Argentina [AR];Bolivia [BO];Paraguay [PY]","Argentina","LATAM","Tube Rigid","10","Piece [PCE]","","","NO","Nutritionals","REDOXON","1600105","REDOXON 2000 mg Effervescent Tablet","Solid|Tablet|Effervescent","  184 ","  246 ","  251 ","SG (Sales Goods)","Tube Rigid","10","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"10055778","BEROCCA PLUS laq x30 CL","1600119","Nutritionals","Pharma","Active","Active","Yes","Chile [CL]","Chile","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","BEROCCA","1600119","BEROCCA Ca & Mg, Zn Film-coated Tablet","Solid|Tablet|Film-coated","  7 ","  7 ","  5 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
"10055863","SUPRADYN grag x30 CL","1600128","Nutritionals","Pharma","Active","Active","Yes","Chile [CL]","Chile","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","SUPRADYN","1600128","SUPRADYN 3 RDA Sugar-coated Tablet","Solid|Tablet|Sugar-coated","  24 ","  25 ","  25 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Sugar-coated","No"
"10055864","SUPRADYN grag x30 PE","1600128","Nutritionals","Pharma","Active","Active","Yes","Peru [PE]","Peru","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","SUPRADYN","1600128","SUPRADYN 3 RDA Sugar-coated Tablet","Solid|Tablet|Sugar-coated","  19 ","  41 ","  24 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Sugar-coated","No"
"10012582","RENNIE PP TABL 96 AG RC GA-1100/145","1600309","Digestive Health","Pharma","Active","Active","Yes","Argentina [AR]","Argentina","LATAM","Blister","96","Piece [PCE]","","","NO","Digestive Health","RENNIE","1600309","RENNIE Peppermint Chewable Tablet","Solid|Tablet|Chewable","  110 ","  110 ","  99 ","SG (Sales Goods)","Blister","96","Piece [PCE]","IX","","NO","Solid|Tablet|Chewable","No"
"10060870","BPN OINT 5%/0 ALU TUBE COLL 30G MX","1600198","Dermatology","Cosmetic;Pharma","Active","Active","Yes","Mexico [MX]","Mexico","LATAM","Tube Flexible","30","Gram [G]","","","NO","Dermatology","BEPANTHEN","1600198","BEPANTHEN 5 % Ointment","Semi-solid|Ointment","  2,093 ","  2,232 ","  2,329 ","SG (Sales Goods)","Tube Flexible","30","Gram [G]","IX","","NO","Semi-solid|Ointment","No"
"10052748","SUPRADYN NA ef x10 PE","1600125","Nutritionals","Pharma","Active","Active","Yes","Peru [PE]","Peru","LATAM","Tube Rigid","10","Piece [PCE]","","","NO","Nutritionals","SUPRADYN","1600125","SUPRADYN 3 RDA Effervescent Tablet","Solid|Tablet|Effervescent","  14 ","  45 ","  25 ","SG (Sales Goods)","Tube Rigid","10","Piece [PCE]","IX","","NO","Solid|Tablet|Effervescent","No"
"10011758","BENEXOL FTE laq x30 EC","1600121","Nutritionals","Pharma","Active","Active","Yes","Ecuador [EC]","Ecuador","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","BENEXOL","1600121","BENEXOL Forte Film-coated Tablet","Solid|Tablet|Film-coated","  27 ","  33 ","  20 ","SG (Sales Goods)","Blister","30","Piece [PCE]","I","X","NO","Solid|Tablet|Film-coated","No"
"10042882","BPN CREA 5%/0 ALU TUBE COLL 30G HN","1600188","Dermatology","Cosmetic;Pharma","Active","Active","Yes","Barbados [BB];Costa Rica [CR];El Salvador [SV];Guatemala [GT];Honduras [HN];Nicaragua [NI]","Centro / Caribe","LATAM","Tube Flexible","30","Gram [G]","","","NO","Dermatology","BEPANTHEN","1600188","BEPANTHEN 5 % Cream","Semi-solid|Cream","  56 ","  105 ","  94 ","SG (Sales Goods)","Tube Flexible","30","Gram [G]","IX","","NO","Semi-solid|Cream","No"
"10012271","MADECASSOL CR TUBE 10 GR 1% CL","1600233","Dermatology","Pharma","Active","Active","Yes","Chile [CL]","Chile","LATAM","Tube Flexible","10","Gram [G]","","","NO","Dermatology","MADECASSOL OTC","1600233","MADECASSOL 1 % Ointment","Semi-solid|Ointment","  31 ","  34 ","  33 ","SG (Sales Goods)","Tube Flexible","10","Gram [G]","IX","","NO","Semi-solid|Ointment","No"
"10011723","RENNIE PP TABL 36 AG RC GA-1100/145","1600309","Digestive Health","Pharma","Active","Active","Yes","Argentina [AR]","Argentina","LATAM","Blister","36","Piece [PCE]","","","NO","Digestive Health","RENNIE","1600309","RENNIE Peppermint Chewable Tablet","Solid|Tablet|Chewable","  110 ","  120 ","  104 ","SG (Sales Goods)","Blister","36","Piece [PCE]","IX","","NO","Solid|Tablet|Chewable","No"
"10057536","BEROCCA PLUS comp rec x30 PE","1600119","Nutritionals","Pharma","Active","Active","Yes","Peru [PE]","Peru","LATAM","Blister","30","Piece [PCE]","","","NO","Nutritionals","BEROCCA","1600119","BEROCCA Ca & Mg, Zn Film-coated Tablet","Solid|Tablet|Film-coated","  12 ","  21 ","  24 ","SG (Sales Goods)","Blister","30","Piece [PCE]","IX","","NO","Solid|Tablet|Film-coated","No"
